"","DEPTH_BIN","OBS_YEAR","REEF_ZONE","SEC_NAME","SITE","SITE.AREA","Q10","QMed","Q90","QJuv","QJuv.D","Q10.D","QMed.D","Q90.D","TOTAL.D","QJuv.R","Q10.R","QMed.R","Q90.R"
"14","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00546",5,0,2,0,0,0,0,0.4,0,0.4,0,0,1,0
"15","Mid","2018","Forereef","SWA_SANCTUARY","SWA-00780",10,0,6,0,0,0,0,0.6,0,0.6,0,0,1,0
"16","Mid","2023","Forereef","SWA_OPEN","SWA-00995",2.5,0,1,0,0,0,0,0.4,0,0.4,0,0,1,0
"17","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00963",2.5,0,0,1,0,0,0,0,0.4,0.4,0,0,0,1
"18","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00964",5,0,2,0,0,0,0,0.4,0,0.4,0,0,1,0
"19","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00965",6,0,1,2,2,0.333333333333333,0,0.166666666666667,0.333333333333333,0.833333333333333,0.4,0,0.2,0.4
"20","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00968",2.5,0,1,0,0,0,0,0.4,0,0.4,0,0,1,0
"21","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00983",7.5,0,3,2,0,0,0,0.4,0.266666666666667,0.666666666666667,0,0,0.6,0.4
"22","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00559",2.5,0,1,0,0,0,0,0.4,0,0.4,0,0,1,0
"23","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00576",10,1,10,0,0,0,0.1,1,0,1.1,0,0.0909090909090909,0.909090909090909,0
"24","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00581",5,1,1,0,0,0,0.2,0.2,0,0.4,0,0.5,0.5,0
"25","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00585",10,0,14,1,0,0,0,1.4,0.1,1.5,0,0,0.933333333333333,0.0666666666666667
"26","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00604",3.5,0,2,0,2,0.571428571428571,0,0.571428571428571,0,1.14285714285714,0.5,0,0.5,0
"27","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00606",10,1,8,0,0,0,0.1,0.8,0,0.9,0,0.111111111111111,0.888888888888889,0
"28","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00608",10,1,3,0,0,0,0.1,0.3,0,0.4,0,0.25,0.75,0
"29","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00609",7.5,1,10,0,0,0,0.133333333333333,1.33333333333333,0,1.46666666666667,0,0.0909090909090909,0.909090909090909,0
"30","Shallow","2018","Forereef","SWA_OPEN","SWA-00802",2.5,2,3,0,0,0,0.8,1.2,0,2,0,0.4,0.6,0
"31","Shallow","2018","Forereef","SWA_SANCTUARY","SWA-00789",12,2,8,0,2,0.166666666666667,0.166666666666667,0.666666666666667,0,1,0.166666666666667,0.166666666666667,0.666666666666667,0
"32","Shallow","2018","Forereef","SWA_SANCTUARY","SWA-00800",1,0,0,0,1,1,0,0,0,1,1,0,0,0
"33","Shallow","2023","Forereef","SWA_OPEN","SWA-00961",11,9,19,0,6,0.545454545454545,0.818181818181818,1.72727272727273,0,3.09090909090909,0.176470588235294,0.264705882352941,0.558823529411765,0
"34","Shallow","2023","Forereef","SWA_OPEN","SWA-00962",12,3,11,3,4,0.333333333333333,0.25,0.916666666666667,0.25,1.75,0.19047619047619,0.142857142857143,0.523809523809524,0.142857142857143
"35","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00936",2.5,0,1,0,0,0,0,0.4,0,0.4,0,0,1,0
"36","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00937",5,1,4,0,0,0,0.2,0.8,0,1,0,0.2,0.8,0
"37","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00938",11,3,15,1,1,0.0909090909090909,0.272727272727273,1.36363636363636,0.0909090909090909,1.81818181818182,0.05,0.15,0.75,0.05
"38","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00940",10,0,6,2,0,0,0,0.6,0.2,0.8,0,0,0.75,0.25
"39","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00941",11,1,8,3,2,0.181818181818182,0.0909090909090909,0.727272727272727,0.272727272727273,1.27272727272727,0.142857142857143,0.0714285714285714,0.571428571428572,0.214285714285714
"40","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00944",12,9,15,0,12,1,0.75,1.25,0,3,0.333333333333333,0.25,0.416666666666667,0
"41","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00948",5,0,3,0,0,0,0,0.6,0,0.6,0,0,1,0
"42","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00952",5,0,4,1,0,0,0,0.8,0.2,1,0,0,0.8,0.2
